theta,intensidad
5.4,50.67
5.8,44
6.4,42.67
6.8,45.33
7.2,41.33
7.5,42.67
7.7,44
8,40
8.4,46.67
8.5,45.33
8.7,40
8.9,57.33
9.3,60
9.6,66.67
9.9,75.33
10.2,90.67
10.7,89.33
10.9,90.67
11.1,70.67
11.4,102
11.9,113.33
12,102.67
12.3,117.33
12.6,101.33
13.1,89.33
13.4,92
13.6,101.33
13.8,90.67
14.1,93.33
14.6,95.33
14.9,92
15.2,90.67
15.4,86.67
15.8,97.33
16.1,84
16.3,92
16.6,86.67
16.9,86.67
17.1,86.67
17.3,97.33
17.8,93.33
18.1,78.67
18.4,86.67
18.9,80
19.2,132
19.6,244
20,174.67
20.4,102
20.8,90.67
21.2,120
21.6,445.33
22,941.33
22.4,88
22.8,69.33
23.2,70
23.4,70.67
24,70
24.4,64
24.7,60
25.1,61.33
25.4,56
25.7,50.67
25.9,48
26.2,53.33
26.6,50.67
27,52
27.4,46
27.8,46.67
28.2,47.33
28.6,44.67
29,46
29.4,46.67
29.7,46.67
30.1,45.33
30.6,48
31,48
31.4,43.33
31.8,47.33
32.1,46.67
32.5,46.67
32.9,45.33
33.3,46.67
33.8,40
34.1,48.67
34.5,49.33
34.9,48.67
35.3,45.33
35.7,44
36.1,44
36.4,45.33
36.9,45.33
37.2,43.33
37.7,46.67
38,44
38.4,43.33
38.8,42.67
39.2,47.33
39.6,42.67
39.9,43.33
40.3,43.33
40.8,45.33
41.1,44
41.5,41.33
41.9,43.33
42.3,48
42.7,65.33
43.1,48.67
43.5,42
43.7,44
