theta,intensidad
4.8,73.33
5,73.33
5.2,70.67
5.6,70.67
5.9,68
6.2,66.67
6.3,66.67
6.7,70.67
6.9,72
7.1,64
7.3,65.33
7.6,80
7.9,78.67
8.1,94.67
8.3,96
8.6,125.33
9.1,110.67
9.4,140.67
9.7,129.33
9.8,160
10.3,137.33
10.4,140
10.6,149.33
10.8,130.67
11.1,138.67
11.4,145.33
11.6,156
11.8,145.33
12.2,150.67
12.6,156
12.8,132
13,129.33
13.3,129.33
13.7,128
14.1,124
14.5,122
14.8,121.33
15.1,142.67
15.3,110.67
15.7,118.67
16.1,129.33
16.5,117.33
16.8,120.67
17.2,128.67
17.6,104
18,110
18.4,134.67
18.8,117.33
19.2,162.67
19.6,361.33
19.9,254
20.3,120.67
20.7,98.67
21.1,179.33
21.5,618
22,1277.33
22.3,144
22.7,103.33
23.1,92.67
23.5,104
23.8,93.33
24.2,82
24.6,86
25.1,84
25.4,79.33
25.7,80
26.2,76.67
26.6,77.33
26.7,73.33
27,69.33
27.3,76.67
27.7,89.33
28.1,76.67
28.5,74.67
28.9,70.67
29.3,70.67
29.7,69.33
30.1,67.33
30.5,70.67
30.8,69.33
31.2,71.33
31.6,67.33
32.1,73.33
32.4,67.33
32.8,76
33.2,72
33.6,70.67
34,70.67
34.4,69.33
34.7,72
35.2,73.33
35.4,68.67
35.8,67.33
36.3,66.67
36.7,65.33
37,66
37.4,64
37.8,62.67
38.2,64.67
38.5,70
39,69.33
39.4,65.33
39.8,62.67
40.2,66.67
40.5,64
41,64
41.4,63.33
41.7,67.33
42.2,82.67
42.5,84
42.7,84
42.8,61.33
43.2,64
43.4,64
